State,Job,Count
Alabama,Leadership,"15,000"
Alabama,Product,"26,000"
Alabama,Engineering,"1,000"
Alabama,DataScience,25
Alabama,Operations,"4,000"
Alabama,Marketing,"1,000"
Alabama,Sales,"5,000"
Alabama,Design,300
Alabama,Support,"32,000"
Alabama,Finance,800
Alabama,Resources,"12,000"
Alabama,Research,400
Alabama,Healthcare,"11,000"
Alabama,Education,"3,000"
Alabama,Security,400
Alabama,Logistics,"1,000"
Alabama,Legal,200
Alabama,Quality,600
Alabama,Management,"14,000"
Alabama,Content,100
Alaska,Leadership,"2,000"
Alaska,Product,"3,000"
Alaska,Engineering,200
Alaska,DataScience,3
Alaska,Operations,900
Alaska,Marketing,100
Alaska,Sales,300
Alaska,Design,50
Alaska,Support,"8,000"
Alaska,Finance,100
Alaska,Resources,"4,000"
Alaska,Research,50
Alaska,Healthcare,"3,000"
Alaska,Education,400
Alaska,Security,100
Alaska,Logistics,100
Alaska,Legal,100
Alaska,Quality,100
Alaska,Management,"2,000"
Alaska,Content,50
Arizona,Leadership,"26,000"
Arizona,Product,"37,000"
Arizona,Engineering,"2,000"
Arizona,DataScience,25
Arizona,Operations,"7,000"
Arizona,Marketing,"2,000"
Arizona,Sales,"11,000"
Arizona,Design,600
Arizona,Support,"61,000"
Arizona,Finance,"2,000"
Arizona,Resources,"24,000"
Arizona,Research,500
Arizona,Healthcare,"21,000"
Arizona,Education,"6,000"
Arizona,Security,800
Arizona,Logistics,"1,000"
Arizona,Legal,700
Arizona,Quality,"1,000"
Arizona,Management,"23,000"
Arizona,Content,400
Arkansas,Leadership,"8,000"
Arkansas,Product,"13,000"
Arkansas,Engineering,500
Arkansas,DataScience,1
Arkansas,Operations,"2,000"
Arkansas,Marketing,500
Arkansas,Sales,"3,000"
Arkansas,Design,100
Arkansas,Support,"17,000"
Arkansas,Finance,300
Arkansas,Resources,"6,000"
Arkansas,Research,100
Arkansas,Healthcare,"7,000"
Arkansas,Education,"1,000"
Arkansas,Security,100
Arkansas,Logistics,500
Arkansas,Legal,100
Arkansas,Quality,300
Arkansas,Management,"8,000"
Arkansas,Content,100
California,Leadership,"107,000"
California,Product,"165,000"
California,Engineering,"17,000"
California,DataScience,100
California,Operations,"32,000"
California,Marketing,"17,000"
California,Sales,"43,000"
California,Design,"6,000"
California,Support,"246,000"
California,Finance,"10,000"
California,Resources,"109,000"
California,Research,"7,000"
California,Healthcare,"86,000"
California,Education,"26,000"
California,Security,"6,000"
California,Logistics,"8,000"
California,Legal,"6,000"
California,Quality,"6,000"
California,Management,"100,000"
California,Content,"5,000"
Colorado,Leadership,"24,000"
Colorado,Product,"34,000"
Colorado,Engineering,"3,000"
Colorado,DataScience,2
Colorado,Operations,"6,000"
Colorado,Marketing,"2,000"
Colorado,Sales,"8,000"
Colorado,Design,800
Colorado,Support,"54,000"
Colorado,Finance,"1,000"
Colorado,Resources,"24,000"
Colorado,Research,600
Colorado,Healthcare,"18,000"
Colorado,Education,"5,000"
Colorado,Security,800
Colorado,Logistics,"1,000"
Colorado,Legal,600
Colorado,Quality,800
Colorado,Management,"20,000"
Colorado,Content,500
Connecticut,Leadership,"12,000"
Connecticut,Product,
Connecticut,Engineering,"1,000"
Connecticut,DataScience,1
Connecticut,Operations,"3,000"
Connecticut,Marketing,"1,000"
Connecticut,Sales,"4,000"
Connecticut,Design,300
Connecticut,Support,"32,000"
Connecticut,Finance,"1,000"
Connecticut,Resources,"12,000"
Connecticut,Research,300
Connecticut,Healthcare,"12,000"
Connecticut,Education,"3,000"
Connecticut,Security,300
Connecticut,Logistics,700
Connecticut,Legal,300
Connecticut,Quality,500
Connecticut,Management,"11,000"
Connecticut,Content,200
Delaware,Leadership,"3,000"
Delaware,Product,"5,000"
Delaware,Engineering,200
Delaware,DataScience,
Delaware,Operations,600
Delaware,Marketing,300
Delaware,Sales,900
Delaware,Design,75
Delaware,Support,"8,000"
Delaware,Finance,300
Delaware,Resources,"2,000"
Delaware,Research,100
Delaware,Healthcare,"3,000"
Delaware,Education,400
Delaware,Security,100
Delaware,Logistics,200
Delaware,Legal,100
Delaware,Quality,100
Delaware,Management,"2,000"
Delaware,Content,50
Florida,Leadership,"71,000"
Florida,Product,"108,000"
Florida,Engineering,"7,000"
Florida,DataScience,50
Florida,Operations,"22,000"
Florida,Marketing,"10,000"
Florida,Sales,"34,000"
Florida,Design,"2,000"
Florida,Support,"159,000"
Florida,Finance,"6,000"
Florida,Resources,"64,000"
Florida,Research,"1,000"
Florida,Healthcare,"64,000"
Florida,Education,"14,000"
Florida,Security,"3,000"
Florida,Logistics,"5,000"
Florida,Legal,"3,000"
Florida,Quality,"3,000"
Florida,Management,"70,000"
Florida,Content,"1,000"
Georgia,Leadership,
Georgia,Product,"61,000"
Georgia,Engineering,"3,000"
Georgia,DataScience,50
Georgia,Operations,"12,000"
Georgia,Marketing,"5,000"
Georgia,Sales,"16,000"
Georgia,Design,"1,000"
Georgia,Support,"86,000"
Georgia,Finance,"3,000"
Georgia,Resources,"35,000"
Georgia,Research,700
Georgia,Healthcare,"34,000"
Georgia,Education,"6,000"
Georgia,Security,"1,000"
Georgia,Logistics,"4,000"
Georgia,Legal,"1,000"
Georgia,Quality,"2,000"
Georgia,Management,"40,000"
Georgia,Content,800
Hawaii,Leadership,"3,000"
Hawaii,Product,"7,000"
Hawaii,Engineering,300
Hawaii,DataScience,3
Hawaii,Operations,"1,000"
Hawaii,Marketing,300
Hawaii,Sales,"1,000"
Hawaii,Design,75
Hawaii,Support,"12,000"
Hawaii,Finance,200
Hawaii,Resources,"5,000"
Hawaii,Research,100
Hawaii,Healthcare,"3,000"
Hawaii,Education,"1,000"
Hawaii,Security,300
Hawaii,Logistics,200
Hawaii,Legal,100
Hawaii,Quality,100
Hawaii,Management,"3,000"
Hawaii,Content,50
Idaho,Leadership,"4,000"
Idaho,Product,"7,000"
Idaho,Engineering,500
Idaho,DataScience,
Idaho,Operations,"1,000"
Idaho,Marketing,400
Idaho,Sales,"1,000"
Idaho,Design,100
Idaho,Support,"11,000"
Idaho,Finance,300
Idaho,Resources,"4,000"
Idaho,Research,75
Idaho,Healthcare,"4,000"
Idaho,Education,500
Idaho,Security,75
Idaho,Logistics,300
Idaho,Legal,100
Idaho,Quality,200
Idaho,Management,"4,000"
Idaho,Content,100
Illinois,Leadership,"42,000"
Illinois,Product,"62,000"
Illinois,Engineering,"4,000"
Illinois,DataScience,50
Illinois,Operations,"12,000"
Illinois,Marketing,"6,000"
Illinois,Sales,"16,000"
Illinois,Design,"1,000"
Illinois,Support,"96,000"
Illinois,Finance,"4,000"
Illinois,Resources,"41,000"
Illinois,Research,"1,000"
Illinois,Healthcare,"38,000"
Illinois,Education,"12,000"
Illinois,Security,"1,000"
Illinois,Logistics,"4,000"
Illinois,Legal,"1,000"
Illinois,Quality,"1,000"
Illinois,Management,"37,000"
Illinois,Content,"1,000"
Indiana,Leadership,"23,000"
Indiana,Product,"36,000"
Indiana,Engineering,"2,000"
Indiana,DataScience,2
Indiana,Operations,"6,000"
Indiana,Marketing,"2,000"
Indiana,Sales,"8,000"
Indiana,Design,500
Indiana,Support,"53,000"
Indiana,Finance,"1,000"
Indiana,Resources,"19,000"
Indiana,Research,400
Indiana,Healthcare,"23,000"
Indiana,Education,"5,000"
Indiana,Security,400
Indiana,Logistics,"2,000"
Indiana,Legal,300
Indiana,Quality,"1,000"
Indiana,Management,"21,000"
Indiana,Content,300
Iowa,Leadership,"10,000"
Iowa,Product,"16,000"
Iowa,Engineering,"1,000"
Iowa,DataScience,
Iowa,Operations,"2,000"
Iowa,Marketing,700
Iowa,Sales,"3,000"
Iowa,Design,200
Iowa,Support,"24,000"
Iowa,Finance,500
Iowa,Resources,"10,000"
Iowa,Research,100
Iowa,Healthcare,"10,000"
Iowa,Education,"2,000"
Iowa,Security,200
Iowa,Logistics,700
Iowa,Legal,100
Iowa,Quality,400
Iowa,Management,"9,000"
Iowa,Content,100
Kansas,Leadership,"11,000"
Kansas,Product,"16,000"
Kansas,Engineering,"1,000"
Kansas,DataScience,
Kansas,Operations,"3,000"
Kansas,Marketing,800
Kansas,Sales,"3,000"
Kansas,Design,300
Kansas,Support,"24,000"
Kansas,Finance,600
Kansas,Resources,"10,000"
Kansas,Research,100
Kansas,Healthcare,"9,000"
Kansas,Education,"1,000"
Kansas,Security,200
Kansas,Logistics,900
Kansas,Legal,200
Kansas,Quality,400
Kansas,Management,"9,000"
Kansas,Content,100
Kentucky,Leadership,"12,000"
Kentucky,Product,"21,000"
Kentucky,Engineering,900
Kentucky,DataScience,
Kentucky,Operations,"3,000"
Kentucky,Marketing,"1,000"
Kentucky,Sales,"4,000"
Kentucky,Design,200
Kentucky,Support,"29,000"
Kentucky,Finance,500
Kentucky,Resources,"11,000"
Kentucky,Research,100
Kentucky,Healthcare,"12,000"
Kentucky,Education,"2,000"
Kentucky,Security,200
Kentucky,Logistics,"1,000"
Kentucky,Legal,100
Kentucky,Quality,400
Kentucky,Management,"11,000"
Kentucky,Content,100
Louisiana,Leadership,"12,000"
Louisiana,Product,"21,000"
Louisiana,Engineering,"1,000"
Louisiana,DataScience,
Louisiana,Operations,"3,000"
Louisiana,Marketing,800
Louisiana,Sales,"5,000"
Louisiana,Design,200
Louisiana,Support,"25,000"
Louisiana,Finance,400
Louisiana,Resources,"11,000"
Louisiana,Research,200
Louisiana,Healthcare,"9,000"
Louisiana,Education,"2,000"
Louisiana,Security,300
Louisiana,Logistics,600
Louisiana,Legal,200
Louisiana,Quality,500
Louisiana,Management,"12,000"
Louisiana,Content,100
Maine,Leadership,"5,000"
Maine,Product,"7,000"
Maine,Engineering,400
Maine,DataScience,
Maine,Operations,900
Maine,Marketing,200
Maine,Sales,"1,000"
Maine,Design,100
Maine,Support,"14,000"
Maine,Finance,200
Maine,Resources,"6,000"
Maine,Research,100
Maine,Healthcare,"6,000"
Maine,Education,900
Maine,Security,75
Maine,Logistics,200
Maine,Legal,75
Maine,Quality,100
