State,Job,Count
Arizona,Leadership,"26,000"
Arizona,Product,"37,000"
Arizona,Engineering,"2,000"
Arizona,DataScience,25
Arizona,Operations,"7,000"
Arizona,Marketing,"2,000"
Arizona,Sales,"11,000"
Arizona,Design,600
Arizona,Support,"61,000"
Arizona,Finance,"2,000"
Arizona,Resources,"24,000"
Arizona,Research,500
Arizona,Healthcare,"21,000"
Arizona,Education,"6,000"
Arizona,Security,800
Arizona,Logistics,"1,000"
Arizona,Legal,700
Arizona,Quality,"1,000"
Arizona,Management,"23,000"
Arizona,Content,400
