State,Job,Count
California,Leadership,"107,000"
California,Product,"165,000"
California,Engineering,"17,000"
California,DataScience,100
California,Operations,"32,000"
California,Marketing,"17,000"
California,Sales,"43,000"
California,Design,"6,000"
California,Support,"246,000"
California,Finance,"10,000"
California,Resources,"109,000"
California,Research,"7,000"
California,Healthcare,"86,000"
California,Education,"26,000"
California,Security,"6,000"
California,Logistics,"8,000"
California,Legal,"6,000"
California,Quality,"6,000"
California,Management,"100,000"
California,Content,"5,000"
