State,Job,Count
Colorado,Leadership,"24,000"
Colorado,Product,"34,000"
Colorado,Engineering,"3,000"
Colorado,DataScience,2
Colorado,Operations,"6,000"
Colorado,Marketing,"2,000"
Colorado,Sales,"8,000"
Colorado,Design,800
Colorado,Support,"54,000"
Colorado,Finance,"1,000"
Colorado,Resources,"24,000"
Colorado,Research,600
Colorado,Healthcare,"18,000"
Colorado,Education,"5,000"
Colorado,Security,800
Colorado,Logistics,"1,000"
Colorado,Legal,600
Colorado,Quality,800
Colorado,Management,"20,000"
Colorado,Content,500
