State,Job,Count
Connecticut,Leadership,"12,000"
Connecticut,Product,
Connecticut,Engineering,"1,000"
Connecticut,DataScience,1
Connecticut,Operations,"3,000"
Connecticut,Marketing,"1,000"
Connecticut,Sales,"4,000"
Connecticut,Design,300
Connecticut,Support,"32,000"
Connecticut,Finance,"1,000"
Connecticut,Resources,"12,000"
Connecticut,Research,300
Connecticut,Healthcare,"12,000"
Connecticut,Education,"3,000"
Connecticut,Security,300
Connecticut,Logistics,700
Connecticut,Legal,300
Connecticut,Quality,500
Connecticut,Management,"11,000"
Connecticut,Content,200
