State,Job,Count
Florida,Leadership,"71,000"
Florida,Product,"108,000"
Florida,Engineering,"7,000"
Florida,DataScience,50
Florida,Operations,"22,000"
Florida,Marketing,"10,000"
Florida,Sales,"34,000"
Florida,Design,"2,000"
Florida,Support,"159,000"
Florida,Finance,"6,000"
Florida,Resources,"64,000"
Florida,Research,"1,000"
Florida,Healthcare,"64,000"
Florida,Education,"14,000"
Florida,Security,"3,000"
Florida,Logistics,"5,000"
Florida,Legal,"3,000"
Florida,Quality,"3,000"
Florida,Management,"70,000"
Florida,Content,"1,000"
