State,Job,Count
Georgia,Leadership,
Georgia,Product,"61,000"
Georgia,Engineering,"3,000"
Georgia,DataScience,50
Georgia,Operations,"12,000"
Georgia,Marketing,"5,000"
Georgia,Sales,"16,000"
Georgia,Design,"1,000"
Georgia,Support,"86,000"
Georgia,Finance,"3,000"
Georgia,Resources,"35,000"
Georgia,Research,700
Georgia,Healthcare,"34,000"
Georgia,Education,"6,000"
Georgia,Security,"1,000"
Georgia,Logistics,"4,000"
Georgia,Legal,"1,000"
Georgia,Quality,"2,000"
Georgia,Management,"40,000"
Georgia,Content,800
