State,Job,Count
Illinois,Leadership,"42,000"
Illinois,Product,"62,000"
Illinois,Engineering,"4,000"
Illinois,DataScience,50
Illinois,Operations,"12,000"
Illinois,Marketing,"6,000"
Illinois,Sales,"16,000"
Illinois,Design,"1,000"
Illinois,Support,"96,000"
Illinois,Finance,"4,000"
Illinois,Resources,"41,000"
Illinois,Research,"1,000"
Illinois,Healthcare,"38,000"
Illinois,Education,"12,000"
Illinois,Security,"1,000"
Illinois,Logistics,"4,000"
Illinois,Legal,"1,000"
Illinois,Quality,"1,000"
Illinois,Management,"37,000"
Illinois,Content,"1,000"
