State,Job,Count
Indiana,Leadership,"23,000"
Indiana,Product,"36,000"
Indiana,Engineering,"2,000"
Indiana,DataScience,2
Indiana,Operations,"6,000"
Indiana,Marketing,"2,000"
Indiana,Sales,"8,000"
Indiana,Design,500
Indiana,Support,"53,000"
Indiana,Finance,"1,000"
Indiana,Resources,"19,000"
Indiana,Research,400
Indiana,Healthcare,"23,000"
Indiana,Education,"5,000"
Indiana,Security,400
Indiana,Logistics,"2,000"
Indiana,Legal,300
Indiana,Quality,"1,000"
Indiana,Management,"21,000"
Indiana,Content,300
