State,Job,Count
Kentucky,Leadership,"12,000"
Kentucky,Product,"21,000"
Kentucky,Engineering,900
Kentucky,DataScience,
Kentucky,Operations,"3,000"
Kentucky,Marketing,"1,000"
Kentucky,Sales,"4,000"
Kentucky,Design,200
Kentucky,Support,"29,000"
Kentucky,Finance,500
Kentucky,Resources,"11,000"
Kentucky,Research,100
Kentucky,Healthcare,"12,000"
Kentucky,Education,"2,000"
Kentucky,Security,200
Kentucky,Logistics,"1,000"
Kentucky,Legal,100
Kentucky,Quality,400
Kentucky,Management,"11,000"
Kentucky,Content,100
