State,Job,Count
Louisiana,Leadership,"12,000"
Louisiana,Product,"21,000"
Louisiana,Engineering,"1,000"
Louisiana,DataScience,
Louisiana,Operations,"3,000"
Louisiana,Marketing,800
Louisiana,Sales,"5,000"
Louisiana,Design,200
Louisiana,Support,"25,000"
Louisiana,Finance,400
Louisiana,Resources,"11,000"
Louisiana,Research,200
Louisiana,Healthcare,"9,000"
Louisiana,Education,"2,000"
Louisiana,Security,300
Louisiana,Logistics,600
Louisiana,Legal,200
Louisiana,Quality,500
Louisiana,Management,"12,000"
Louisiana,Content,100
