State,Job,Count
Maryland,Leadership,"22,000"
Maryland,Product,"32,000"
Maryland,Engineering,"3,000"
Maryland,DataScience,25
Maryland,Operations,"7,000"
Maryland,Marketing,"2,000"
Maryland,Sales,"7,000"
Maryland,Design,800
Maryland,Support,"59,000"
Maryland,Finance,"1,000"
Maryland,Resources,"25,000"
Maryland,Research,"1,000"
Maryland,Healthcare,"20,000"
Maryland,Education,"5,000"
Maryland,Security,"1,000"
Maryland,Logistics,"1,000"
Maryland,Legal,600
Maryland,Quality,"1,000"
Maryland,Management,"19,000"
Maryland,Content,400
