State,Job,Count
Massachusetts,Leadership,"33,000"
Massachusetts,Product,"41,000"
Massachusetts,Engineering,"4,000"
Massachusetts,DataScience,25
Massachusetts,Operations,"9,000"
Massachusetts,Marketing,"4,000"
Massachusetts,Sales,"10,000"
Massachusetts,Design,"1,000"
Massachusetts,Support,"78,000"
Massachusetts,Finance,"3,000"
Massachusetts,Resources,"30,000"
Massachusetts,Research,"2,000"
Massachusetts,Healthcare,"31,000"
Massachusetts,Education,"9,000"
Massachusetts,Security,"1,000"
Massachusetts,Logistics,"1,000"
Massachusetts,Legal,"1,000"
Massachusetts,Quality,"1,000"
Massachusetts,Management,"27,000"
Massachusetts,Content,900
