State,Job,Count
Michigan,Leadership,"13,000"
Michigan,Product,"29,000"
Michigan,Engineering,800
Michigan,DataScience,
Michigan,Operations,"3,000"
Michigan,Marketing,"2,000"
Michigan,Sales,"10,000"
Michigan,Design,400
Michigan,Support,"37,000"
Michigan,Finance,"1,000"
Michigan,Resources,"12,000"
Michigan,Research,400
Michigan,Healthcare,"7,000"
Michigan,Education,"4,000"
Michigan,Security,500
Michigan,Logistics,"1,000"
Michigan,Legal,200
Michigan,Quality,500
Michigan,Management,"8,000"
Michigan,Content,500
