State,Job,Count
Minnesota,Leadership,"19,000"
Minnesota,Product,"30,000"
Minnesota,Engineering,"2,000"
Minnesota,DataScience,2
Minnesota,Operations,"5,000"
Minnesota,Marketing,"2,000"
Minnesota,Sales,"6,000"
Minnesota,Design,600
Minnesota,Support,"51,000"
Minnesota,Finance,"1,000"
Minnesota,Resources,"20,000"
Minnesota,Research,600
Minnesota,Healthcare,"17,000"
Minnesota,Education,"5,000"
Minnesota,Security,400
Minnesota,Logistics,"1,000"
Minnesota,Legal,500
Minnesota,Quality,"1,000"
Minnesota,Management,"17,000"
Minnesota,Content,400
