State,Job,Count
Mississippi,Leadership,"6,000"
Mississippi,Product,"12,000"
Mississippi,Engineering,300
Mississippi,DataScience,
Mississippi,Operations,"1,000"
Mississippi,Marketing,300
Mississippi,Sales,"2,000"
Mississippi,Design,100
Mississippi,Support,"14,000"
Mississippi,Finance,200
Mississippi,Resources,"5,000"
Mississippi,Research,75
Mississippi,Healthcare,"6,000"
Mississippi,Education,500
Mississippi,Security,100
Mississippi,Logistics,400
Mississippi,Legal,75
Mississippi,Quality,200
Mississippi,Management,"7,000"
Mississippi,Content,50
