State,Job,Count
Missouri,Leadership,"23,000"
Missouri,Product,"36,000"
Missouri,Engineering,"2,000"
Missouri,DataScience,2
Missouri,Operations,"6,000"
Missouri,Marketing,"2,000"
Missouri,Sales,"10,000"
Missouri,Design,600
Missouri,Support,"50,000"
Missouri,Finance,"1,000"
Missouri,Resources,"20,000"
Missouri,Research,500
Missouri,Healthcare,"19,000"
Missouri,Education,"4,000"
Missouri,Security,600
Missouri,Logistics,"1,000"
Missouri,Legal,500
Missouri,Quality,700
Missouri,Management,"22,000"
Missouri,Content,400
