State,Job,Count
New Hampshire,Leadership,"5,000"
New Hampshire,Product,"9,000"
New Hampshire,Engineering,600
New Hampshire,DataScience,
New Hampshire,Operations,"1,000"
New Hampshire,Marketing,400
New Hampshire,Sales,"1,000"
New Hampshire,Design,100
New Hampshire,Support,"16,000"
New Hampshire,Finance,300
New Hampshire,Resources,"5,000"
New Hampshire,Research,100
New Hampshire,Healthcare,"6,000"
New Hampshire,Education,"1,000"
New Hampshire,Security,100
New Hampshire,Logistics,300
New Hampshire,Legal,100
New Hampshire,Quality,300
New Hampshire,Management,"5,000"
New Hampshire,Content,75
