State,Job,Count
New Jersey,Leadership,"26,000"
New Jersey,Product,"41,000"
New Jersey,Engineering,"3,000"
New Jersey,DataScience,50
New Jersey,Operations,"8,000"
New Jersey,Marketing,"4,000"
New Jersey,Sales,"10,000"
New Jersey,Design,900
New Jersey,Support,"70,000"
New Jersey,Finance,"2,000"
New Jersey,Resources,"25,000"
New Jersey,Research,"1,000"
New Jersey,Healthcare,"35,000"
New Jersey,Education,"8,000"
New Jersey,Security,900
New Jersey,Logistics,"2,000"
New Jersey,Legal,"1,000"
New Jersey,Quality,"1,000"
New Jersey,Management,"26,000"
New Jersey,Content,700
