State,Job,Count
New Mexico,Leadership,"6,000"
New Mexico,Product,"10,000"
New Mexico,Engineering,600
New Mexico,DataScience,
New Mexico,Operations,"1,000"
New Mexico,Marketing,400
New Mexico,Sales,"2,000"
New Mexico,Design,100
New Mexico,Support,"18,000"
New Mexico,Finance,300
New Mexico,Resources,"7,000"
New Mexico,Research,200
New Mexico,Healthcare,"8,000"
New Mexico,Education,"1,000"
New Mexico,Security,300
New Mexico,Logistics,300
New Mexico,Legal,200
New Mexico,Quality,200
New Mexico,Management,"6,000"
New Mexico,Content,75
