State,Job,Count
New York,Leadership,"52,000"
New York,Product,"69,000"
New York,Engineering,"5,000"
New York,DataScience,75
New York,Operations,"15,000"
New York,Marketing,"8,000"
New York,Sales,"19,000"
New York,Design,"2,000"
New York,Support,"128,000"
New York,Finance,"8,000"
New York,Resources,"52,000"
New York,Research,"3,000"
New York,Healthcare,"55,000"
New York,Education,"14,000"
New York,Security,"2,000"
New York,Logistics,"3,000"
New York,Legal,"4,000"
New York,Quality,"2,000"
New York,Management,"49,000"
New York,Content,"2,000"
