State,Job,Count
North Carolina,Leadership,"42,000"
North Carolina,Product,"61,000"
North Carolina,Engineering,"4,000"
North Carolina,DataScience,1
North Carolina,Operations,"11,000"
North Carolina,Marketing,"4,000"
North Carolina,Sales,"16,000"
North Carolina,Design,"1,000"
North Carolina,Support,"87,000"
North Carolina,Finance,"2,000"
North Carolina,Resources,"37,000"
North Carolina,Research,"1,000"
North Carolina,Healthcare,"33,000"
North Carolina,Education,"10,000"
North Carolina,Security,"1,000"
North Carolina,Logistics,"2,000"
North Carolina,Legal,700
North Carolina,Quality,"2,000"
North Carolina,Management,"40,000"
North Carolina,Content,600
