State,Job,Count
North Dakota,Leadership,"2,000"
North Dakota,Product,"4,000"
North Dakota,Engineering,300
North Dakota,DataScience,
North Dakota,Operations,600
North Dakota,Marketing,100
North Dakota,Sales,800
North Dakota,Design,50
North Dakota,Support,"8,000"
North Dakota,Finance,100
North Dakota,Resources,"2,000"
North Dakota,Research,75
North Dakota,Healthcare,"4,000"
North Dakota,Education,400
North Dakota,Security,50
North Dakota,Logistics,100
North Dakota,Legal,75
North Dakota,Quality,100
North Dakota,Management,"2,000"
North Dakota,Content,25
