State,Job,Count
Pennsylvania,Leadership,"43,000"
Pennsylvania,Product,"67,000"
Pennsylvania,Engineering,"5,000"
Pennsylvania,DataScience,25
Pennsylvania,Operations,"13,000"
Pennsylvania,Marketing,"5,000"
Pennsylvania,Sales,"17,000"
Pennsylvania,Design,"1,000"
Pennsylvania,Support,"111,000"
Pennsylvania,Finance,"4,000"
Pennsylvania,Resources,"40,000"
Pennsylvania,Research,"1,000"
Pennsylvania,Healthcare,"44,000"
Pennsylvania,Education,"11,000"
Pennsylvania,Security,"1,000"
Pennsylvania,Logistics,"4,000"
Pennsylvania,Legal,"1,000"
Pennsylvania,Quality,"2,000"
Pennsylvania,Management,"39,000"
Pennsylvania,Content,800
