State,Job,Count
Rhode Island,Leadership,"3,000"
Rhode Island,Product,"4,000"
Rhode Island,Engineering,300
Rhode Island,DataScience,
Rhode Island,Operations,600
Rhode Island,Marketing,200
Rhode Island,Sales,"1,000"
Rhode Island,Design,100
Rhode Island,Support,"8,000"
Rhode Island,Finance,100
Rhode Island,Resources,"3,000"
Rhode Island,Research,100
Rhode Island,Healthcare,"3,000"
Rhode Island,Education,"1,000"
Rhode Island,Security,100
Rhode Island,Logistics,100
Rhode Island,Legal,100
Rhode Island,Quality,100
Rhode Island,Management,"2,000"
Rhode Island,Content,50
