State,Job,Count
South Dakota,Leadership,"2,000"
South Dakota,Product,"4,000"
South Dakota,Engineering,200
South Dakota,DataScience,1
South Dakota,Operations,600
South Dakota,Marketing,200
South Dakota,Sales,800
South Dakota,Design,100
South Dakota,Support,"7,000"
South Dakota,Finance,100
South Dakota,Resources,"2,000"
South Dakota,Research,50
South Dakota,Healthcare,"3,000"
South Dakota,Education,400
South Dakota,Security,75
South Dakota,Logistics,100
South Dakota,Legal,75
South Dakota,Quality,100
South Dakota,Management,"2,000"
South Dakota,Content,50
