State,Job,Count
Tennessee,Leadership,"25,000"
Tennessee,Product,"40,000"
Tennessee,Engineering,"2,000"
Tennessee,DataScience,1
Tennessee,Operations,"8,000"
Tennessee,Marketing,"2,000"
Tennessee,Sales,"10,000"
Tennessee,Design,500
Tennessee,Support,"55,000"
Tennessee,Finance,"1,000"
Tennessee,Resources,"21,000"
Tennessee,Research,400
Tennessee,Healthcare,"20,000"
Tennessee,Education,"5,000"
Tennessee,Security,700
Tennessee,Logistics,"2,000"
Tennessee,Legal,400
Tennessee,Quality,"1,000"
Tennessee,Management,"23,000"
Tennessee,Content,400
