State,Job,Count
Virginia,Leadership,"40,000"
Virginia,Product,"56,000"
Virginia,Engineering,"5,000"
Virginia,DataScience,25
Virginia,Operations,"11,000"
Virginia,Marketing,"4,000"
Virginia,Sales,"13,000"
Virginia,Design,"1,000"
Virginia,Support,"97,000"
Virginia,Finance,"2,000"
Virginia,Resources,"40,000"
Virginia,Research,"1,000"
Virginia,Healthcare,"28,000"
Virginia,Education,"9,000"
Virginia,Security,"3,000"
Virginia,Logistics,"2,000"
Virginia,Legal,"1,000"
Virginia,Quality,"1,000"
Virginia,Management,"35,000"
Virginia,Content,800
