State,Job,Count
West Virginia,Leadership,"4,000"
West Virginia,Product,"8,000"
West Virginia,Engineering,300
West Virginia,DataScience,
West Virginia,Operations,"1,000"
West Virginia,Marketing,200
West Virginia,Sales,"1,000"
West Virginia,Design,50
West Virginia,Support,"12,000"
West Virginia,Finance,100
West Virginia,Resources,"4,000"
West Virginia,Research,100
West Virginia,Healthcare,"6,000"
West Virginia,Education,800
West Virginia,Security,100
West Virginia,Logistics,200
West Virginia,Legal,100
West Virginia,Quality,100
West Virginia,Management,"4,000"
West Virginia,Content,50
