State,Job,Count
Wisconsin,Leadership,"21,000"
Wisconsin,Product,"35,000"
Wisconsin,Engineering,"2,000"
Wisconsin,DataScience,
Wisconsin,Operations,"5,000"
Wisconsin,Marketing,"2,000"
Wisconsin,Sales,"7,000"
Wisconsin,Design,600
Wisconsin,Support,"50,000"
Wisconsin,Finance,"1,000"
Wisconsin,Resources,"19,000"
Wisconsin,Research,300
Wisconsin,Healthcare,"18,000"
Wisconsin,Education,"3,000"
Wisconsin,Security,300
Wisconsin,Logistics,"1,000"
Wisconsin,Legal,300
Wisconsin,Quality,"1,000"
Wisconsin,Management,"18,000"
Wisconsin,Content,300
